Error                          Corrected                     
============================================================
Khihcudakho                    Khichudakho                   
HORO                           Horo                          
iGvo                           Givo                          
damame                         Damame                        
Gehr                           Gehu                          
Unglu                          Ungli                         
JALEBI                         Jalebi                        
Rijho                          Rijha                         
Ravhi                          Rachi                         
Ghaoa                          Ghapa                         
Tuchhaa                        Tuchha                        
Kumy                           Kumi                          
Vale                           Vale                          
hevU                           Hevu                          
Maabha                         Mabha                         
Pozupy                         Pokupo                        
Tozha                          Tosha                         
Honza                          Hona                          
khubutuha                      Khubutuha                     
Natoo                          Nato                          
Jizejejha                      Jijejejha                     
Jeti                           Jati                          
PPike                          Pike                          
vogogiho                       vogogiho                      
LeLUvo                         Leluvo                        
metubi                         Jetubi                        
Pakabu                         Pakavu                        
vuChcU                         Vuchu                         
Bhajesrchhha                   Bhajesrchhha                  
Legaa                          Lega                          
ssUbgaH                        Subah                         
bigina                         Bigina                        
Ledodu                         Ridodu                        
mekhodi                        Mekhodi                       
JUSIJEKHU                      Jusijekhu                     
shuumikhi                      Shumikhi                      
YYago                          Yago                          
Batit                          Batti                         
Kisa                           Kise                          
Duputta                        Dupatta                       
rUshE                          Rushe                         
Nusaghaa                       Nusagha                       
Vudhu                          Vuchu                         
neguro                         Neguro                        
Chapanu                        Chhapanu                      
Sholose                        Cholose                       
SBUKEE                         Shukese                       
AJKI                           Jaki                          
Techi                          Tichi                         
Pesu                           Pesu                          
Necha                          Nesha                         
Hopha                          Hopha                         
meecta                         Meetha                        
MMidu                          Midu                          
KACHOPA                        Kachopa                       
Niloha                         Nilokha                       
KEBE                           Kebe                          
GOJO                           Gojo                          
cHONA                          Chona                         
khunado                        Khunado                       
Guaaano                        Guaaano                       
Gaduby                         Gaduvi                        
kiShEilmo                      Kishelimo                     
NNISA                          Nisa                          
Hyloo                          Hulo                          
CBACHHAJISHI                   Chachhajishi                  
ludha                          Ludha                         
Shiyataze                      Shiyatoje                     
Vaha                           Viha                          
Lidhejo                        Lidejo                        
Jeal                           Jela                          
Yara                           Yare                          
Reta                           Reta                          
shERo                          Shero                         
Dekhe                          Dekhi                         
Nutemichh                      Nutemichha                    
Ghagi                          Ghagu                         
Peshinna                       Peshina                       
PPeje                          Peje                          
QAchO                          Vacho                         
HOSO                           Hoso                          
Bhao                           Bhai                          
HESHAJI                        Heshaji                       
Vre                            Vire                          
